Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Modified	965.000	925.000	-0.100	1	0.200	CAE	100.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True	Modified		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
965.000	171839
964.900	172000
964.800	172311
964.700	172285
964.600	172506
964.500	173423
964.400	173260
964.300	173535
964.200	173819
964.100	173787
964.000	173764
963.900	174567
963.800	174237
963.700	174987
963.600	175283
963.500	176117
963.400	176030
963.300	175488
963.200	175472
963.100	175004
963.000	175566
962.900	175244
962.800	175732
962.700	175716
962.600	175756
962.500	175213
962.400	175718
962.300	175660
962.200	175618
962.100	175589
962.000	174985
961.900	174956
961.800	174947
961.700	173857
961.600	174212
961.500	173766
961.400	173139
961.300	173726
961.200	173003
961.100	172725
961.000	172083
960.900	171664
960.800	171628
960.700	171243
960.600	171262
960.500	170660
960.400	170702
960.300	170408
960.200	170685
960.100	170046
960.000	169372
959.900	169848
959.800	169367
959.700	169531
959.600	169541
959.500	168701
959.400	168212
959.300	168185
959.200	168690
959.100	168827
959.000	168345
958.900	168832
958.800	169007
958.700	169046
958.600	169535
958.500	169336
958.400	169319
958.300	169055
958.200	168425
958.100	169428
958.000	169551
957.900	169676
957.800	169923
957.700	169529
957.600	169413
957.500	170203
957.400	169849
957.300	170100
957.200	170172
957.100	169998
957.000	169787
956.900	169962
956.800	170541
956.700	170781
956.600	171187
956.500	171011
956.400	171062
956.300	171401
956.200	171214
956.100	171890
956.000	171849
955.900	171916
955.800	171497
955.700	172475
955.600	172951
955.500	173516
955.400	173218
955.300	173792
955.200	174215
955.100	174245
955.000	175588
954.900	175446
954.800	175462
954.700	177098
954.600	177455
954.500	177997
954.400	178761
954.300	179038
954.200	179575
954.100	180268
954.000	180691
953.900	181495
953.800	182872
953.700	184174
953.600	185468
953.500	186607
953.400	187821
953.300	189713
953.200	190859
953.100	192645
953.000	194522
952.900	196564
952.800	199079
952.700	202467
952.600	205822
952.500	209300
952.400	213684
952.300	218690
952.200	222739
952.100	227875
952.000	234194
951.900	240293
951.800	245940
951.700	252398
951.600	260171
951.500	266180
951.400	274320
951.300	282038
951.200	290584
951.100	298539
951.000	305976
950.900	313180
950.800	320260
950.700	326340
950.600	329626
950.500	334044
950.400	336777
950.300	336643
950.200	335263
950.100	333758
950.000	330537
949.900	325183
949.800	319417
949.700	312672
949.600	306019
949.500	297296
949.400	287984
949.300	278882
949.200	269474
949.100	259437
949.000	249547
948.900	240524
948.800	232579
948.700	224947
948.600	217797
948.500	210652
948.400	204688
948.300	199231
948.200	195697
948.100	191574
948.000	188474
947.900	184476
947.800	182264
947.700	179428
947.600	177498
947.500	176606
947.400	174839
947.300	172688
947.200	171235
947.100	170070
947.000	169058
946.900	168011
946.800	167303
946.700	165829
946.600	165388
946.500	164605
946.400	164573
946.300	164186
946.200	163963
946.100	163696
946.000	162666
945.900	162154
945.800	162165
945.700	162387
945.600	161822
945.500	161837
945.400	161972
945.300	161424
945.200	161681
945.100	161684
945.000	161129
944.900	161575
944.800	160799
944.700	161415
944.600	161524
944.500	160414
944.400	160729
944.300	161316
944.200	161608
944.100	160236
944.000	161053
943.900	160938
943.800	159916
943.700	160181
943.600	160357
943.500	159785
943.400	159489
943.300	159220
943.200	158738
943.100	158672
943.000	158467
942.900	158443
942.800	158111
942.700	158714
942.600	158623
942.500	158487
942.400	157891
942.300	157893
942.200	158468
942.100	158533
942.000	158571
941.900	159609
941.800	159289
941.700	159584
941.600	159524
941.500	159685
941.400	160123
941.300	160586
941.200	161329
941.100	161632
941.000	161405
940.900	161255
940.800	160850
940.700	160467
940.600	160421
940.500	160390
940.400	160239
940.300	159595
940.200	158618
940.100	157239
940.000	157065
939.900	156536
939.800	155873
939.700	154748
939.600	153339
939.500	152538
939.400	152323
939.300	151366
939.200	150738
939.100	149871
939.000	148953
938.900	148950
938.800	148311
938.700	147419
938.600	146933
938.500	145881
938.400	145840
938.300	145449
938.200	145636
938.100	144309
938.000	143482
937.900	143258
937.800	142727
937.700	143165
937.600	142155
937.500	142382
937.400	141976
937.300	141377
937.200	139970
937.100	140576
937.000	140342
936.900	140015
936.800	139330
936.700	138969
936.600	139258
936.500	139407
936.400	139030
936.300	139280
936.200	139251
936.100	138978
936.000	139146
